,Site_name,Project_name,Workbook_name,Dashboard_name,Sheet_name,Datasource_name,Database_name,Database_connection,Number of columns,Column_name,Table_name
26,890Portal,Default,CMO_Dashboard,Promotion Effect,Back_Button,Sheet1 (Transactions),Transactions.xlsx,excel-direct,4,"Month,Source,Year,Campaign","First,First,First,First"
27,890Portal,Default,CMO_Dashboard,Promotion Effect,Front,Sheet1 (Transactions),Transactions.xlsx,excel-direct,4,"Month,Source,Year,Campaign","First,First,First,First"
28,890Portal,Default,CMO_Dashboard,Promotion Effect,Leads Campaign,Sheet1 (Transactions),Transactions.xlsx,excel-direct,6,"Month,Source,User Segment,Year,Campaign,Campaign","First,First,Promotion,First,Promotion,First"
29,890Portal,Default,CMO_Dashboard,Promotion Effect,Leads Segment,Sheet1 (Transactions),Transactions.xlsx,excel-direct,6,"Month,Source,User Segment,Year,Campaign,Customer_Id","First,First,Promotion,First,First,First"
30,890Portal,Default,CMO_Dashboard,Promotion Effect,Leads Product,Sheet1 (Transactions),Transactions.xlsx,excel-direct,6,"Month,Source,User Segment,Year,Campaign,Prod Type","First,First,Promotion,First,First,Promotion"
31,890Portal,Default,CMO_Dashboard,Promotion Effect,Leads,Sheet1 (Transactions),Transactions.xlsx,excel-direct,7,"Month,Source,Year,Leads_Tdy,Campaign,Customer_Id,Leads_Yestrdy","First,First,First,Promotion,First,Promotion,Promotion"
32,890Portal,Default,CMO_Dashboard,Conversion,Back_Button,Sheet1 (Transactions),Transactions.xlsx,excel-direct,4,"Month,Source,Year,Campaign","First,First,First,First"
33,890Portal,Default,CMO_Dashboard,Conversion,Order_Conv,Sheet1 (Transactions),Transactions.xlsx,excel-direct,6,"Order,Month,Source,Year,Visit,Campaign","Reach,First,First,First,Reach,First"
34,890Portal,Default,CMO_Dashboard,Conversion,Front,Sheet1 (Transactions),Transactions.xlsx,excel-direct,4,"Month,Source,Year,Campaign","First,First,First,First"
35,890Portal,Default,CMO_Dashboard,Conversion,Buyer_Conv,Sheet1 (Transactions),Transactions.xlsx,excel-direct,6,"Order,Month,Source,Year,Campaign,Customer_Id","Reach,First,First,First,First,Reach"
36,890Portal,Default,CMO_Dashboard,Conversion,Campaign Conv,Sheet1 (Transactions),Transactions.xlsx,excel-direct,6,"Month,Source,Year,Customer_Id,Campaign,Campaign","First,First,First,Conversion,First,Conversion"
37,890Portal,Default,CMO_Dashboard,Conversion,Product Conv,Sheet1 (Transactions),Transactions.xlsx,excel-direct,6,"Month,Source,Year,Customer_Id,Campaign,Prod Type","First,First,First,Conversion,First,Conversion"
38,890Portal,Default,CMO_Dashboard,Conversion,Revenue,Sheet1 (Transactions),Transactions.xlsx,excel-direct,7,"Date,Revenue_Tot,Month,Source,Year,Campaign,Revenue_Type","First,Conversion,First,First,First,First,Conversion"
39,890Portal,Default,CMO_Dashboard,Content,Back_Button,Sheet1 (Transactions),Transactions.xlsx,excel-direct,4,"Month,Source,Year,Campaign","First,First,First,First"
40,890Portal,Default,CMO_Dashboard,Content,Front,Sheet1 (Transactions),Transactions.xlsx,excel-direct,4,"Month,Source,Year,Campaign","First,First,First,First"
41,890Portal,Default,CMO_Dashboard,Content,Site stickiness,Sheet1 (Transactions),Transactions.xlsx,excel-direct,9,"Month,Source,Year,Visit,AvgMin_Old,AvgMin_New,Campaign,Mon_Yr,New","First,First,First,Reach,Conversion,Conversion,First,Reach,Reach"
42,890Portal,Default,CMO_Dashboard,Content,Facebook,Sheet1 (Transactions),Transactions.xlsx,excel-direct,5,"Month,Source,Year,Campaign,Facebook Followers","First,First,First,First,Content"
43,890Portal,Default,CMO_Dashboard,Content,Youtube,Sheet1 (Transactions),Transactions.xlsx,excel-direct,5,"Month,Youtube Followers,Source,Year,Campaign","First,Content,First,First,First"
44,890Portal,Default,CMO_Dashboard,Content,Linkedin,Sheet1 (Transactions),Transactions.xlsx,excel-direct,5,"Month,Source,Year,Linkedin Followers,Campaign","First,First,First,Content,First"
45,890Portal,Default,CMO_Dashboard,Content,Twitter,Sheet1 (Transactions),Transactions.xlsx,excel-direct,5,"Month,Source,Year,Twitter Followers,Campaign","First,First,First,Content,First"
46,890Portal,Default,CMO_Dashboard,Content,Email,Sheet1 (Transactions),Transactions.xlsx,excel-direct,5,"Month,Source,Year,Emails Opened,Campaign","First,First,First,Content,First"
47,890Portal,Default,CMO_Dashboard,Content,Visit Customer,Sheet1 (Transactions),Transactions.xlsx,excel-direct,7,"Month,Source,Year,Visit,Campaign,Mon_Yr,New","First,First,First,Reach,First,Reach,Reach"
48,890Portal,Default,Consolidated Cookbook,Comparison of People Metrics,Promoters vs Detractors (2019),Sheet1 (Claim Data),Claim Data.xlsx,excel-direct,1,Detractor/Promoter,Sheet1
49,890Portal,Default,Consolidated Cookbook,Comparison of People Metrics,Y-o-Y CSAT Comparison,Sheet1 (NPS Metrics),NPS Metrics.xlsx,excel-direct,3,"CSAT (Org),CSAT (Industry),Year","Sheet1,Sheet1,Sheet1"
50,890Portal,Default,Consolidated Cookbook,Comparison of People Metrics,Cycle Times on Insurance Claim,Sheet1 (Claim Data),Claim Data.xlsx,excel-direct,2,"CYCLE TIME,ID","Sheet1,Sheet1"
51,890Portal,Default,Consolidated Cookbook,Comparison of People Metrics,Rural/Urban Distribution (2019),Sheet1 (Claim Data),Claim Data.xlsx,excel-direct,1,URBANICITY,Sheet1
52,890Portal,Default,Consolidated Cookbook,Comparison of People Metrics,Y-o-Y NPS Comparison,Sheet1 (NPS Metrics),NPS Metrics.xlsx,excel-direct,3,"Year,NPS (Org),NPS (Industry)","Sheet1,Sheet1,Sheet1"
53,890Portal,Default,Consolidated Cookbook,Comparison of Financial Metrics,Ratio Comparison,Revenue Analysis (Finance Data),Finance Data.xlsx,excel-direct,4,"Combined Ratio,Loss Ratio,Expense Ratio,YEAR","'Revenue Analysis$','Revenue Analysis$','Revenue Analysis$','Revenue Analysis$'"
54,890Portal,Default,Consolidated Cookbook,Comparison of Financial Metrics,Total Revenue,Revenue Analysis (Finance Data),Finance Data.xlsx,excel-direct,2,"TOTAL_REVENUES,YEAR","'Revenue Analysis$','Revenue Analysis$'"
55,890Portal,Default,Consolidated Cookbook,Comparison of Financial Metrics,Fee Income,Revenue Analysis (Finance Data),Finance Data.xlsx,excel-direct,2,"FEE_INCOME,YEAR","'Revenue Analysis$','Revenue Analysis$'"
56,890Portal,Default,Consolidated Cookbook,Comparison of Financial Metrics,Claims Loss,Revenue Analysis (Finance Data),Finance Data.xlsx,excel-direct,2,"CLAIMS_LOSS,YEAR","'Revenue Analysis$','Revenue Analysis$'"
57,890Portal,Default,Consolidated Cookbook,Comparison of Financial Metrics,Premium Earned,Revenue Analysis (Finance Data),Finance Data.xlsx,excel-direct,2,"EARNED_PREMIUM,YEAR","'Revenue Analysis$','Revenue Analysis$'"
58,890Portal,Default,Consolidated Cookbook,Comparison of Financial Metrics,Investment Income,Revenue Analysis (Finance Data),Finance Data.xlsx,excel-direct,2,"NET_INVESTMENT_INCOME,YEAR","'Revenue Analysis$','Revenue Analysis$'"
59,890Portal,Default,Consolidated Cookbook,Comparison of Financial Metrics,Capital Gains,Revenue Analysis (Finance Data),Finance Data.xlsx,excel-direct,2,"NET_REALIZED_CAPITAL_GAIN,YEAR","'Revenue Analysis$','Revenue Analysis$'"
60,890Portal,Default,Consolidated Cookbook,Comparison of Financial Metrics,Operating Cost,Revenue Analysis (Finance Data),Finance Data.xlsx,excel-direct,2,"OPERATING_COST,YEAR","'Revenue Analysis$','Revenue Analysis$'"
61,890Portal,HealthCare Fraud Analytics,Healthcare-Fraud-Detection,Fraud Claims Dashboard,By-Provider,Data (Data for Analytics),excel-direct.1t1z6hy05xvbo019bggy01paju1p,excel-direct,4,"Fraud,PROVIDER_NAME,Fraud Type,TOTAL_CHARGES","Data,Data,Data,Data"
62,890Portal,HealthCare Fraud Analytics,Healthcare-Fraud-Detection,Fraud Claims Dashboard,By-Diagnosis-Code,Data (Data for Analytics),excel-direct.1t1z6hy05xvbo019bggy01paju1p,excel-direct,4,"DIAGNOSIS_CODE,Fraud,Fraud Type,TOTAL_CHARGES","Data,Data,Data,Data"
63,890Portal,HealthCare Fraud Analytics,Healthcare-Fraud-Detection,Fraud Claims Dashboard,By-Gender,Data (Data for Analytics),excel-direct.1t1z6hy05xvbo019bggy01paju1p,excel-direct,4,"Fraud,Fraud Type,SEX_CODE,TOTAL_CHARGES","Data,Data,Data,Data"
64,890Portal,HealthCare Fraud Analytics,Healthcare-Fraud-Detection,Fraud Claims Dashboard,By-Procedure-Code,Data (Data for Analytics),excel-direct.1t1z6hy05xvbo019bggy01paju1p,excel-direct,4,"Fraud,Fraud Type,TOTAL_CHARGES,PROC_CODE","Data,Data,Data,Data"
65,890Portal,HealthCare Fraud Analytics,Healthcare-Fraud-Detection,Fraud Claims Dashboard,By-Admission-Type,Data (Data for Analytics),excel-direct.1t1z6hy05xvbo019bggy01paju1p,excel-direct,4,"Fraud,Fraud Type,TOTAL_CHARGES,ADMISSION_TYPE","Data,Data,Data,Data"
66,890Portal,HealthCare Fraud Analytics,HealthCareFraudulentClaims,Anomaly Detection,Sheet 7,ClaimsRequest,ClaimsRequest.csv,textscan,11,"PROVIDER_NAME,DIAGNOSIS_CODE,X,PAT_ZIP,submitted_amt,Claim_Request,POLICY_NO,cluster,PROVIDER_ID,Y,PROC_CODE","ClaimsRequest.csv,ClaimsRequest.csv,ClaimsRequest.csv,ClaimsRequest.csv,ClaimsRequest.csv,ClaimsRequest.csv,ClaimsRequest.csv,ClaimsRequest.csv,ClaimsRequest.csv,ClaimsRequest.csv,ClaimsRequest.csv"
67,890Portal,HealthCare Fraud Analytics,HealthCareFraudulentClaims,Anomaly Detection,Sheet 8,ClaimsRequest,ClaimsRequest.csv,textscan,5,"PROVIDER_NAME,SEX_CODE,submitted_amt,Claim_Request,cluster","ClaimsRequest.csv,ClaimsRequest.csv,ClaimsRequest.csv,ClaimsRequest.csv,ClaimsRequest.csv"
68,890Portal,HealthCare Fraud Analytics,HealthCareFraudulentClaims,Anomaly Detection,Sheet 5,ClaimsRequest,ClaimsRequest.csv,textscan,13,"PROVIDER_NAME,insurance,ADMISSION_TYPE,SEX_CODE,PredictedFraud,DIAGNOSIS_CODE,PAT_ZIP,submitted_amt,Claim_Request,POLICY_NO,cluster,PROVIDER_ID,PROC_CODE","ClaimsRequest.csv,ClaimsRequest.csv,ClaimsRequest.csv,ClaimsRequest.csv,ClaimsRequest.csv,ClaimsRequest.csv,ClaimsRequest.csv,ClaimsRequest.csv,ClaimsRequest.csv,ClaimsRequest.csv,ClaimsRequest.csv,ClaimsRequest.csv,ClaimsRequest.csv"
69,890Portal,Loss Control,Loss Control-Towing,Network-Savings-Dashboard,By-Towing-Companies,Boston-Towing-Companies-SB (Boston-Towing-Companies-SB),excel-direct.1xy0xtc1ksnmow1bnnnp21q3twli,excel-direct,3,"calc_Business_Grp,Towing_InNetwork,calc_Cnt_Towing_Co","'Boston-Towing-Companies-SB$','Boston-Towing-Companies-SB$','Boston-Towing-Companies-SB$'"
70,890Portal,Loss Control,Loss Control-Towing,Network-Savings-Dashboard,By-Claim-Savings,Boston-Towing-Companies-SB (Boston-Towing-Companies-SB),excel-direct.1xy0xtc1ksnmow1bnnnp21q3twli,excel-direct,5,"calc_Business_Grp,Business,ClaimsCount,Towing_InNetwork,Towing_Discount","'Boston-Towing-Companies-SB$','Boston-Towing-Companies-SB$','Boston-Towing-Companies-SB$','Boston-Towing-Companies-SB$','Boston-Towing-Companies-SB$'"
71,890Portal,Loss Control,Loss Control-Towing,Network-Savings-Dashboard,By-Claims-Value,Boston-Towing-Companies-SB (Boston-Towing-Companies-SB),excel-direct.1xy0xtc1ksnmow1bnnnp21q3twli,excel-direct,3,"calc_Business_Grp,Business,Towing_InNetwork","'Boston-Towing-Companies-SB$','Boston-Towing-Companies-SB$','Boston-Towing-Companies-SB$'"
72,890Portal,Loss Control,Loss Control-Towing,Network-Savings-Dashboard,By-Claims-Count,Boston-Towing-Companies-SB (Boston-Towing-Companies-SB),excel-direct.1xy0xtc1ksnmow1bnnnp21q3twli,excel-direct,3,"calc_Business_Grp,ClaimsCount,Towing_InNetwork","'Boston-Towing-Companies-SB$','Boston-Towing-Companies-SB$','Boston-Towing-Companies-SB$'"
73,890Portal,Loss Control,Loss Control-Towing,Exceptions-Dashboard,By-Years-vs-Business,Boston-Towing-Companies-SB (Boston-Towing-Companies-SB),excel-direct.1xy0xtc1ksnmow1bnnnp21q3twli,excel-direct,4,"Business,Years_in_Business,Towing_InNetwork,Towing_Discount","'Boston-Towing-Companies-SB$','Boston-Towing-Companies-SB$','Boston-Towing-Companies-SB$','Boston-Towing-Companies-SB$'"
74,890Portal,Loss Control,Loss Control-Towing,Exceptions-Dashboard,By-TowRates-vs-Business,Boston-Towing-Companies-SB (Boston-Towing-Companies-SB),excel-direct.1xy0xtc1ksnmow1bnnnp21q3twli,excel-direct,3,"Business,Towing_InNetwork,Average_Tow_Rate_per_day","'Boston-Towing-Companies-SB$','Boston-Towing-Companies-SB$','Boston-Towing-Companies-SB$'"
75,890Portal,Default,Workbook for Spanish Insurance v3,Dashboard Great Car Company,Kilómetros recorridos en noches de fin de semana,Sheet6 (sheet_6),sheet_6.xlsx,excel-direct,2,"Meses,Fin de semana noche conduciendo","Sheet6,Sheet6"
76,890Portal,Default,Workbook for Spanish Insurance v3,Dashboard Great Car Company,Age Group,Sheet4,sheet_4.xlsx,excel-direct,2,"Grupo de edad,% of customers","Sheet4,Sheet4"
77,890Portal,Default,Workbook for Spanish Insurance v3,Dashboard Great Car Company,Distribución de clientes por clase de riesgo,Primary Data Sheet 17jul,"insurance analytics file.xlsx,Primary Data Sheet 17jul.csv","excel-direct,textscan",3,"New Risk Score,c#custmr_pol_id,New total claim amount","Primary Data Sheet 17jul.csv,'Insurance analytics file$','Insurance analytics file$'"
78,890Portal,Default,Workbook for Spanish Insurance v3,Dashboard Great Car Company,tipos de automóviles conducidos,Sheet4,sheet_4.xlsx,excel-direct,2,"Tipo de carro,% of customers","Sheet4,Sheet4"
79,890Portal,Default,Workbook for Spanish Insurance v3,Dashboard Great Car Company,Kilómetros recorridos en noches de lunes a viernes,Sheet6 (sheet_6),sheet_6.xlsx,excel-direct,2,"Entre semana noche conduciendo,Meses","Sheet6,Sheet6"
80,890Portal,Default,Workbook for Spanish Insurance v3,Dashboard Great Car Company,Sheet 9,Sheet1,Sheet1.csv,textscan,1,Final Driver Performance Score,Sheet1.csv
81,890Portal,Default,Workbook for Spanish Insurance v3,Dashboard Great Car Company,Puntuación de riesgo vs Reclamar cantidad (2),Primary Data Sheet 17jul,"insurance analytics file.xlsx,Primary Data Sheet 17jul.csv","excel-direct,textscan",3,"New Risk Score,% of customers,New total claim amount","Primary Data Sheet 17jul.csv,Primary Data Sheet 17jul.csv,'Insurance analytics file$'"
82,890Portal,Default,Workbook for Spanish Insurance v3,Dashboard Great Car Company,Distancia,Sheet6 (sheet_6),sheet_6.xlsx,excel-direct,2,"Meses,Distancia","Sheet6,Sheet6"
83,890Portal,Default,Workbook for Spanish Insurance v3,Dashboard Great Car Company,Distribución de accidentes por región,Sheet4 (2),insurance analytics file.xlsx,excel-direct,2,"State,Median RFM","'Insurance analytics file$','Insurance analytics file$'"
84,890Portal,Default,WFH Analytics,Overview,Sheet 19 (3),Sheet3 (Random Data),Random Data.xlsx,excel-direct,1,Satisfaction Score - VPN,Sheet3
85,890Portal,Default,WFH Analytics,Overview,Labels,Sheet1 (Radar Data),Radar Data.xlsx,excel-direct,2,"Metrics,Location","Sheet1,Sheet1"
86,890Portal,Default,WFH Analytics,Overview,Assets Used for WFH,"Sheet3 (Asset Movement_WFH_Bangalore),Sheet3 (Random Data)","Asset Movement_WFH_Bangalore.xlsx,Random Data.xlsx","excel-direct,excel-direct",3,"VPN Location,Asset Used,VPN Location","Sheet3,Sheet3,Sheet3"
87,890Portal,Default,WFH Analytics,Overview,Asset Fulfillment Status,Sheet1 (Asset Requests),Asset Requests.xlsx,excel-direct,2,"Asset Fulfillment,Number","Sheet1,Sheet1"
88,890Portal,Default,WFH Analytics,Overview,Back 3,Sheet1 (Radar Data),Radar Data.xlsx,excel-direct,1,Metrics,Sheet1
89,890Portal,Default,WFH Analytics,Overview,Sheet 19,Sheet3 (Random Data),Random Data.xlsx,excel-direct,1,Satisfaction Score - VPN,Sheet3
90,890Portal,Default,WFH Analytics,Overview,Back 4,Sheet1 (Radar Data),Radar Data.xlsx,excel-direct,1,Metrics,Sheet1
91,890Portal,Default,WFH Analytics,Overview,Total number of WFH Users,Sheet3 (Asset Movement_WFH_Bangalore),,,0,,
92,890Portal,Default,WFH Analytics,Overview,Radar,Sheet1 (Radar Data),Radar Data.xlsx,excel-direct,4,"Metrics,Capacity,Current,Location","Sheet1,Sheet1,Sheet1,Sheet1"
93,890Portal,Default,WFH Analytics,Overview,Back 2,Sheet1 (Radar Data),Radar Data.xlsx,excel-direct,1,Metrics,Sheet1
94,890Portal,Default,WFH Analytics,Overview,Sheet 19 (4),Sheet3 (Random Data),Random Data.xlsx,excel-direct,1,Satisfaction Score - VPN,Sheet3
95,890Portal,Default,WFH Analytics,Overview,Back 1,Sheet1 (Radar Data),Radar Data.xlsx,excel-direct,1,Metrics,Sheet1
96,890Portal,Default,WFH Analytics,Overview,VPN Capacity Usage,Sheet3 (Asset Movement_WFH_Bangalore),,,0,,
97,890Portal,Default,WFH Analytics,Overview,VPN Network Quality and Coverage,Sheet3 (Random Data),Random Data.xlsx,excel-direct,3,"VPN Location,Service Quality,WFH City","Sheet3,Sheet3,Sheet3"
98,890Portal,Default,WFH Analytics,Overview,Sheet 19 (2),Sheet3 (Random Data),Random Data.xlsx,excel-direct,1,Satisfaction Score - VPN,Sheet3
99,890Portal,Default,WFH Analytics,Detailed Insights,MS teams Usage (4),"Sheet1 (Teams),Sheet1 (VPN)","Teams - Copy.xlsx,VPN - Copy.XLSX","excel-direct,excel-direct",7,"Teams Alert Zone,Date,Location,Location,Teams Server Load,Time,Date","Sheet1,Sheet1,Sheet1,Sheet1,Sheet1,Sheet1,Sheet1"
100,890Portal,Default,WFH Analytics,Detailed Insights,VPN Usage (3),Sheet1 (VPN),VPN - Copy.XLSX,excel-direct,5,"Date,Time,Location,VPN Employee,VPN Warning Zone","Sheet1,Sheet1,Sheet1,Sheet1,Sheet1"
101,890Portal,Default,WFH Analytics,Detailed Insights,Skype for Business Usage (4),"Sheet1 (Skype),Sheet1 (VPN)","Skype - Copy.xlsx,VPN - Copy.XLSX","excel-direct,excel-direct",7,"Date,Skype Server Load,Date,Location,Location,Skype Alert Zone,Time","Sheet1,Sheet1,Sheet1,Sheet1,Sheet1,Sheet1,Sheet1"
102,890Portal,Default,WFH Analytics,Detailed Insights,MS teams Usage (3),"Sheet1 (Teams),Sheet1 (VPN)","Teams - Copy.xlsx,VPN - Copy.XLSX","excel-direct,excel-direct",7,"Teams Employee,Date,Location,Teams Warning Zone,Location,Time,Date","Sheet1,Sheet1,Sheet1,Sheet1,Sheet1,Sheet1,Sheet1"
103,890Portal,Default,WFH Analytics,Detailed Insights,Skype for Business Usage (3),"Sheet1 (Skype),Sheet1 (VPN)","Skype - Copy.xlsx,VPN - Copy.XLSX","excel-direct,excel-direct",7,"Date,Date,Location,Location,Skype Warning Zone,Time,Skype Employee","Sheet1,Sheet1,Sheet1,Sheet1,Sheet1,Sheet1,Sheet1"
104,890Portal,Default,WFH Analytics,Detailed Insights,VPN Usage (4),Sheet1 (VPN),VPN - Copy.XLSX,excel-direct,5,"Date,Time,Location,VPN Alert Zone,VPN Server Load","Sheet1,Sheet1,Sheet1,Sheet1,Sheet1"
105,890Portal,Default,WFH Analytics,Detailed Insights,SLA Status (2),"Sheet1 (VPN),Sheet1 (SLA)","VPN - Copy.XLSX,SLA.XLSX","excel-direct,excel-direct",8,"Time,Closed,Date,Date,Location,Location,SLA Met?,Still Open","Sheet1,Sheet1,Sheet1,Sheet1,Sheet1,Sheet1,Sheet1,Sheet1"
106,890Portal,Default,WFH Analytics Draft,Overview,Total number of WFH Users,Sheet3 (Asset Movement_WFH_Bangalore),,,0,,
107,890Portal,Default,WFH Analytics Draft,Overview,Sheet 19 (2),Sheet3 (Random Data),Random Data.xlsx,excel-direct,1,Satisfaction Score - VPN,Sheet3
108,890Portal,Default,WFH Analytics Draft,Overview,Back 3,Sheet1 (Radar Data),Radar Data.xlsx,excel-direct,1,Metrics,Sheet1
109,890Portal,Default,WFH Analytics Draft,Overview,Sheet 19 (3),Sheet3 (Random Data),Random Data.xlsx,excel-direct,1,Satisfaction Score - VPN,Sheet3
110,890Portal,Default,WFH Analytics Draft,Overview,VPN Network Quality and Coverage,Sheet3 (Random Data),Random Data.xlsx,excel-direct,3,"WFH City,VPN Location,Service Quality","Sheet3,Sheet3,Sheet3"
111,890Portal,Default,WFH Analytics Draft,Overview,Back 2,Sheet1 (Radar Data),Radar Data.xlsx,excel-direct,1,Metrics,Sheet1
112,890Portal,Default,WFH Analytics Draft,Overview,Assets Used for WFH,"Sheet3 (Random Data),Sheet3 (Asset Movement_WFH_Bangalore)","Random Data.xlsx,Asset Movement_WFH_Bangalore.xlsx","excel-direct,excel-direct",3,"VPN Location,Asset Used,VPN Location","Sheet3,Sheet3,Sheet3"
113,890Portal,Default,WFH Analytics Draft,Overview,Sheet 19 (4),Sheet3 (Random Data),Random Data.xlsx,excel-direct,1,Satisfaction Score - VPN,Sheet3
114,890Portal,Default,WFH Analytics Draft,Overview,Asset Fulfillment Status,Sheet1 (Asset Requests),Asset Requests.xlsx,excel-direct,2,"Number,Asset Fulfillment","Sheet1,Sheet1"
115,890Portal,Default,WFH Analytics Draft,Overview,Back 4,Sheet1 (Radar Data),Radar Data.xlsx,excel-direct,1,Metrics,Sheet1
116,890Portal,Default,WFH Analytics Draft,Overview,Back 1,Sheet1 (Radar Data),Radar Data.xlsx,excel-direct,1,Metrics,Sheet1
117,890Portal,Default,WFH Analytics Draft,Overview,Labels,Sheet1 (Radar Data),Radar Data.xlsx,excel-direct,2,"Metrics,Location","Sheet1,Sheet1"
