,Site_name,Project_name,Workbook_name,Dashboard_name,Datasource_name,Database_name,Database_connection,Column_name,Table_name
1163,890Portal,Default,Backtest Asset Allocation Dashboard,Drawdowns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,End,Worst 10 Drawdowns$
1164,890Portal,Default,Backtest Asset Allocation Dashboard,Drawdowns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Recovery By,Worst 10 Drawdowns$
1156,890Portal,Default,Backtest Asset Allocation Dashboard,Drawdowns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Underwater Period,Worst 10 Drawdowns$
1142,890Portal,Default,Backtest Asset Allocation Dashboard,Portfolio Growth and Returns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Returns (%),Annual returns$
1147,890Portal,Default,Backtest Asset Allocation Dashboard,Annual Returns and Balance Data,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Returns (%),Annual returns$
1140,890Portal,Default,Backtest Asset Allocation Dashboard,Portfolio Growth and Returns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Year,Annual returns$
1259,890Portal,Default,Backtest Asset Allocation Dashboard v3,Rolling Returns Analysis,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Rolling Period (Years),Rolling Returns$
1188,890Portal,Default,Backtest Asset Allocation Dashboard,Rolling Returns Trend,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Year,Annual returns$
1187,890Portal,Default,Backtest Asset Allocation Dashboard,Rolling Returns Analysis,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Annualized return,Rolling Returns$
1186,890Portal,Default,Backtest Asset Allocation Dashboard,Rolling Returns Analysis,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Client,Rolling Returns$
1185,890Portal,Default,Backtest Asset Allocation Dashboard,Rolling Returns Analysis,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Rolling Period (Years),Rolling Returns$
1128,890Portal,Default,Backtest Asset Allocation Dashboard,Asset Allocation,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Asset Class,Asset Allocation$
1129,890Portal,Default,Backtest Asset Allocation Dashboard,Asset Allocation,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Client,Asset Allocation$
1141,890Portal,Default,Backtest Asset Allocation Dashboard,Portfolio Growth and Returns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Client,Annual returns$
1133,890Portal,Default,Backtest Asset Allocation Dashboard,Asset Allocation,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Allocation  (%),Asset Allocation$
1134,890Portal,Default,Backtest Asset Allocation Dashboard,Portfolio Performance,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Client,Annual returns$
1258,890Portal,Default,Backtest Asset Allocation Dashboard v3,Rolling Returns Analysis,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Annualized return,Rolling Returns$
1139,890Portal,Default,Backtest Asset Allocation Dashboard,Portfolio Growth and Returns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Balance,Annual returns$
1135,890Portal,Default,Backtest Asset Allocation Dashboard,Portfolio Performance,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Metric,Portfolio Performance$
1136,890Portal,Default,Backtest Asset Allocation Dashboard,Portfolio Performance,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Performance Values,Portfolio Performance$
1150,890Portal,Default,Backtest Asset Allocation Dashboard,Risk and Return Metrics,Asset Allocation Data v1,Asset Allocation Data v1.xlsx,excel-direct,Values,Risk and Return Metrics$
1149,890Portal,Default,Backtest Asset Allocation Dashboard,Risk and Return Metrics,Asset Allocation Data v1,Asset Allocation Data v1.xlsx,excel-direct,Client,Risk and Return Metrics$
1148,890Portal,Default,Backtest Asset Allocation Dashboard,Risk and Return Metrics,Asset Allocation Data v1,Asset Allocation Data v1.xlsx,excel-direct,Metric,Risk and Return Metrics$
1223,890Portal,Default,Backtest Asset Allocation Dashboard v3,Risk and Return Metrics,Asset Allocation Data v1,Asset Allocation Data v1.xlsx,excel-direct,Client,Risk and Return Metrics$
1224,890Portal,Default,Backtest Asset Allocation Dashboard v3,Risk and Return Metrics,Asset Allocation Data v1,Asset Allocation Data v1.xlsx,excel-direct,Metric,Risk and Return Metrics$
1225,890Portal,Default,Backtest Asset Allocation Dashboard v3,Risk and Return Metrics,Asset Allocation Data v1,Asset Allocation Data v1.xlsx,excel-direct,Values,Risk and Return Metrics$
914,890Portal,COVID-19,Covid 19 Internal V6,Booking Sales and Pipeline (3),Booking in Pipeline,Clipboard_20200422T140528.xls,excel-direct,Total,Sheet1
885,890Portal,COVID-19,Covid 19 Internal V6,Booking Sales and Pipeline (2),Booking in Pipeline,Clipboard_20200422T140528.xls,excel-direct,Q4-2020,Sheet1
884,890Portal,COVID-19,Covid 19 Internal V6,Booking Sales and Pipeline (2),Booking in Pipeline,Clipboard_20200422T140528.xls,excel-direct,Q1-2020,Sheet1
883,890Portal,COVID-19,Covid 19 Internal V6,Booking Sales and Pipeline (2),Booking in Pipeline,Clipboard_20200422T140528.xls,excel-direct,Q3-2020,Sheet1
882,890Portal,COVID-19,Covid 19 Internal V6,Booking Sales and Pipeline (2),Booking in Pipeline,Clipboard_20200422T140528.xls,excel-direct,Total,Sheet1
915,890Portal,COVID-19,Covid 19 Internal V6,Booking Sales and Pipeline (3),Booking in Pipeline,Clipboard_20200422T140528.xls,excel-direct,Q3-2020,Sheet1
916,890Portal,COVID-19,Covid 19 Internal V6,Booking Sales and Pipeline (3),Booking in Pipeline,Clipboard_20200422T140528.xls,excel-direct,Q1-2020,Sheet1
917,890Portal,COVID-19,Covid 19 Internal V6,Booking Sales and Pipeline (3),Booking in Pipeline,Clipboard_20200422T140528.xls,excel-direct,Q4-2020,Sheet1
887,890Portal,COVID-19,Covid 19 Internal V6,Booking Sales and Pipeline (2),Booking in Pipeline,Clipboard_20200422T140528.xls,excel-direct,Q2-2020,Sheet1
886,890Portal,COVID-19,Covid 19 Internal V6,Booking Sales and Pipeline (2),Booking in Pipeline,Clipboard_20200422T140528.xls,excel-direct,Stage,Sheet1
661,890Portal,COVID-19,Covid 19 Internal V6,Booking Sales and Pipeline,Booking in Pipeline,Clipboard_20200422T140528.xls,excel-direct,Total,Sheet1
919,890Portal,COVID-19,Covid 19 Internal V6,Booking Sales and Pipeline (3),Booking in Pipeline,Clipboard_20200422T140528.xls,excel-direct,Q2-2020,Sheet1
662,890Portal,COVID-19,Covid 19 Internal V6,Booking Sales and Pipeline,Booking in Pipeline,Clipboard_20200422T140528.xls,excel-direct,Q3-2020,Sheet1
663,890Portal,COVID-19,Covid 19 Internal V6,Booking Sales and Pipeline,Booking in Pipeline,Clipboard_20200422T140528.xls,excel-direct,Q1-2020,Sheet1
664,890Portal,COVID-19,Covid 19 Internal V6,Booking Sales and Pipeline,Booking in Pipeline,Clipboard_20200422T140528.xls,excel-direct,Q4-2020,Sheet1
665,890Portal,COVID-19,Covid 19 Internal V6,Booking Sales and Pipeline,Booking in Pipeline,Clipboard_20200422T140528.xls,excel-direct,Stage,Sheet1
666,890Portal,COVID-19,Covid 19 Internal V6,Booking Sales and Pipeline,Booking in Pipeline,Clipboard_20200422T140528.xls,excel-direct,Q2-2020,Sheet1
918,890Portal,COVID-19,Covid 19 Internal V6,Booking Sales and Pipeline (3),Booking in Pipeline,Clipboard_20200422T140528.xls,excel-direct,Stage,Sheet1
377,890Portal,Loss Control,Loss Control-Towing,Exceptions-Dashboard,Boston-Towing-Companies-SB (Boston-Towing-Companies-SB),excel-direct.1xy0xtc1ksnmow1bnnnp21q3twli,excel-direct,Average_Tow_Rate_per_day,Boston-Towing-Companies-SB$
376,890Portal,Loss Control,Loss Control-Towing,Exceptions-Dashboard,Boston-Towing-Companies-SB (Boston-Towing-Companies-SB),excel-direct.1xy0xtc1ksnmow1bnnnp21q3twli,excel-direct,Towing_InNetwork,Boston-Towing-Companies-SB$
375,890Portal,Loss Control,Loss Control-Towing,Exceptions-Dashboard,Boston-Towing-Companies-SB (Boston-Towing-Companies-SB),excel-direct.1xy0xtc1ksnmow1bnnnp21q3twli,excel-direct,Business,Boston-Towing-Companies-SB$
374,890Portal,Loss Control,Loss Control-Towing,Exceptions-Dashboard,Boston-Towing-Companies-SB (Boston-Towing-Companies-SB),excel-direct.1xy0xtc1ksnmow1bnnnp21q3twli,excel-direct,Towing_Discount,Boston-Towing-Companies-SB$
366,890Portal,Loss Control,Loss Control-Towing,Network-Savings-Dashboard,Boston-Towing-Companies-SB (Boston-Towing-Companies-SB),excel-direct.1xy0xtc1ksnmow1bnnnp21q3twli,excel-direct,Business,Boston-Towing-Companies-SB$
357,890Portal,Loss Control,Loss Control-Towing,Network-Savings-Dashboard,Boston-Towing-Companies-SB (Boston-Towing-Companies-SB),excel-direct.1xy0xtc1ksnmow1bnnnp21q3twli,excel-direct,calc_Business_Grp,Boston-Towing-Companies-SB$
358,890Portal,Loss Control,Loss Control-Towing,Network-Savings-Dashboard,Boston-Towing-Companies-SB (Boston-Towing-Companies-SB),excel-direct.1xy0xtc1ksnmow1bnnnp21q3twli,excel-direct,Towing_InNetwork,Boston-Towing-Companies-SB$
372,890Portal,Loss Control,Loss Control-Towing,Exceptions-Dashboard,Boston-Towing-Companies-SB (Boston-Towing-Companies-SB),excel-direct.1xy0xtc1ksnmow1bnnnp21q3twli,excel-direct,Years_in_Business,Boston-Towing-Companies-SB$
369,890Portal,Loss Control,Loss Control-Towing,Network-Savings-Dashboard,Boston-Towing-Companies-SB (Boston-Towing-Companies-SB),excel-direct.1xy0xtc1ksnmow1bnnnp21q3twli,excel-direct,ClaimsCount,Boston-Towing-Companies-SB$
364,890Portal,Loss Control,Loss Control-Towing,Network-Savings-Dashboard,Boston-Towing-Companies-SB (Boston-Towing-Companies-SB),excel-direct.1xy0xtc1ksnmow1bnnnp21q3twli,excel-direct,Towing_Discount,Boston-Towing-Companies-SB$
359,890Portal,Loss Control,Loss Control-Towing,Network-Savings-Dashboard,Boston-Towing-Companies-SB (Boston-Towing-Companies-SB),excel-direct.1xy0xtc1ksnmow1bnnnp21q3twli,excel-direct,calc_Cnt_Towing_Co,Boston-Towing-Companies-SB$
336,890Portal,HealthCare Fraud Analytics,HealthCareFraudulentClaims,Anomaly Detection,ClaimsRequest,ClaimsRequest.csv,textscan,PROVIDER_ID,ClaimsRequest.csv
328,890Portal,HealthCare Fraud Analytics,HealthCareFraudulentClaims,Anomaly Detection,ClaimsRequest,ClaimsRequest.csv,textscan,PROVIDER_NAME,ClaimsRequest.csv
330,890Portal,HealthCare Fraud Analytics,HealthCareFraudulentClaims,Anomaly Detection,ClaimsRequest,ClaimsRequest.csv,textscan,X,ClaimsRequest.csv
331,890Portal,HealthCare Fraud Analytics,HealthCareFraudulentClaims,Anomaly Detection,ClaimsRequest,ClaimsRequest.csv,textscan,PAT_ZIP,ClaimsRequest.csv
332,890Portal,HealthCare Fraud Analytics,HealthCareFraudulentClaims,Anomaly Detection,ClaimsRequest,ClaimsRequest.csv,textscan,submitted_amt,ClaimsRequest.csv
333,890Portal,HealthCare Fraud Analytics,HealthCareFraudulentClaims,Anomaly Detection,ClaimsRequest,ClaimsRequest.csv,textscan,Claim_Request,ClaimsRequest.csv
334,890Portal,HealthCare Fraud Analytics,HealthCareFraudulentClaims,Anomaly Detection,ClaimsRequest,ClaimsRequest.csv,textscan,POLICY_NO,ClaimsRequest.csv
335,890Portal,HealthCare Fraud Analytics,HealthCareFraudulentClaims,Anomaly Detection,ClaimsRequest,ClaimsRequest.csv,textscan,cluster,ClaimsRequest.csv
337,890Portal,HealthCare Fraud Analytics,HealthCareFraudulentClaims,Anomaly Detection,ClaimsRequest,ClaimsRequest.csv,textscan,Y,ClaimsRequest.csv
356,890Portal,HealthCare Fraud Analytics,HealthCareFraudulentClaims,Anomaly Detection,ClaimsRequest,ClaimsRequest.csv,textscan,PROC_CODE,ClaimsRequest.csv
349,890Portal,HealthCare Fraud Analytics,HealthCareFraudulentClaims,Anomaly Detection,ClaimsRequest,ClaimsRequest.csv,textscan,DIAGNOSIS_CODE,ClaimsRequest.csv
347,890Portal,HealthCare Fraud Analytics,HealthCareFraudulentClaims,Anomaly Detection,ClaimsRequest,ClaimsRequest.csv,textscan,SEX_CODE,ClaimsRequest.csv
346,890Portal,HealthCare Fraud Analytics,HealthCareFraudulentClaims,Anomaly Detection,ClaimsRequest,ClaimsRequest.csv,textscan,ADMISSION_TYPE,ClaimsRequest.csv
348,890Portal,HealthCare Fraud Analytics,HealthCareFraudulentClaims,Anomaly Detection,ClaimsRequest,ClaimsRequest.csv,textscan,PredictedFraud,ClaimsRequest.csv
345,890Portal,HealthCare Fraud Analytics,HealthCareFraudulentClaims,Anomaly Detection,ClaimsRequest,ClaimsRequest.csv,textscan,insurance,ClaimsRequest.csv
701,890Portal,Default,Covid 19 External V6,Executive Dashboard,Clipboard_20200408T150009,Clipboard_20200408T150009.xls,excel-direct,Feb 20 FTE,Sheet1
707,890Portal,Default,Covid 19 External V6,Executive Dashboard,Clipboard_20200408T150009,Clipboard_20200408T150009.xls,excel-direct,Industry,Sheet1
706,890Portal,Default,Covid 19 External V6,Executive Dashboard,Clipboard_20200408T150009,Clipboard_20200408T150009.xls,excel-direct,Account Name,Sheet1
704,890Portal,Default,Covid 19 External V6,Executive Dashboard,Clipboard_20200408T150009,Clipboard_20200408T150009.xls,excel-direct,COVID Forcast,Sheet1
859,890Portal,COVID-19,Covid 19 Internal V6,Covid FTE Projector,Clipboard_20200414T111559,Clipboard_20200414T111559.xls,excel-direct,S&P Rating,Sheet1
860,890Portal,COVID-19,Covid 19 Internal V6,Covid FTE Projector,Clipboard_20200414T111559,Clipboard_20200414T111559.xls,excel-direct,CF/Rev,Sheet1
852,890Portal,COVID-19,Covid 19 Internal V6,Covid FTE Projector,Clipboard_20200414T111559,Clipboard_20200414T111559.xls,excel-direct,Rev volatility,Sheet1
861,890Portal,COVID-19,Covid 19 Internal V6,Covid FTE Projector,Clipboard_20200414T111559,Clipboard_20200414T111559.xls,excel-direct,Current Ratio,Sheet1
809,890Portal,Default,Covid 19 External V6,Covid Impact on Employee Predictor,Clipboard_20200414T111559,Clipboard_20200414T111559.xls,excel-direct,Alpha,Sheet1
810,890Portal,Default,Covid 19 External V6,Covid Impact on Employee Predictor,Clipboard_20200414T111559,Clipboard_20200414T111559.xls,excel-direct,Current Ratio,Sheet1
811,890Portal,Default,Covid 19 External V6,Covid Impact on Employee Predictor,Clipboard_20200414T111559,Clipboard_20200414T111559.xls,excel-direct,Leverage,Sheet1
813,890Portal,Default,Covid 19 External V6,Covid Impact on Employee Predictor,Clipboard_20200414T111559,Clipboard_20200414T111559.xls,excel-direct,Stock Volatility,Sheet1
851,890Portal,COVID-19,Covid 19 Internal V6,Covid FTE Projector,Clipboard_20200414T111559,Clipboard_20200414T111559.xls,excel-direct,Asset turnover,Sheet1
850,890Portal,COVID-19,Covid 19 Internal V6,Covid FTE Projector,Clipboard_20200414T111559,Clipboard_20200414T111559.xls,excel-direct,Country Risk,Sheet1
814,890Portal,Default,Covid 19 External V6,Covid Impact on Employee Predictor,Clipboard_20200414T111559,Clipboard_20200414T111559.xls,excel-direct,Industry risk,Sheet1
815,890Portal,Default,Covid 19 External V6,Covid Impact on Employee Predictor,Clipboard_20200414T111559,Clipboard_20200414T111559.xls,excel-direct,S&P Rating,Sheet1
816,890Portal,Default,Covid 19 External V6,Covid Impact on Employee Predictor,Clipboard_20200414T111559,Clipboard_20200414T111559.xls,excel-direct,S&P Outlook,Sheet1
817,890Portal,Default,Covid 19 External V6,Covid Impact on Employee Predictor,Clipboard_20200414T111559,Clipboard_20200414T111559.xls,excel-direct,Asset turnover,Sheet1
